seed,plan_cost,exec_us,rows,query
82,1833,174,0,"SELECT users.age AS c4898, users.id AS c4014
FROM users
WHERE ((users.id = 4 OR users.id BETWEEN 11 AND 16) AND (users.age = 22 AND users.id <= 57))
ORDER BY users.age DESC;"
83,4502,282,6,"SELECT t0.age AS c499, t1.price AS c7644, t0.id
FROM users AS t0 LEFT JOIN books AS t1 ON t0.id = t1.id
WHERE t0.id < 7;"
84,4574,324,3,"SELECT books.price, regions.id, markets.id AS c8988
FROM markets LEFT JOIN regions ON markets.id = regions.id LEFT JOIN books ON regions.id = books.id
WHERE ((books.price BETWEEN 6 AND 77 OR markets.id NOT IN (1, 2, 2, 3)) OR books.price NOT IN (55));"
85,316000,330,500,"SELECT t0.id, t0.region_id
FROM customers AS t0
GROUP BY t0.id, t0.region_id;"
86,610000,1168,5000,"SELECT orders.customer_id, orders.id
FROM orders;"
87,6952,133,11,"SELECT employees.department_id, employees.id AS c6314
FROM employees
GROUP BY employees.department_id, employees.id;"
88,8275,273,5,"SELECT departments.id AS c2839, COUNT(*)
FROM employees RIGHT JOIN departments ON employees.id = departments.id
GROUP BY departments.id
ORDER BY departments.id DESC;"
89,1896,151,3,"SELECT t0.region AS c5477, t0.id AS c2794, COUNT(*) AS c9570
FROM markets AS t0
GROUP BY t0.region, t0.id;"
90,208000,409,500,"SELECT customers.region_id, customers.id AS c6247, COUNT(*) AS c8943
FROM customers
WHERE customers.region_id <= 40
GROUP BY customers.region_id, customers.id;"
91,610,132,5,"SELECT departments.id
FROM departments;"
92,22030,249,3,"SELECT markets.region, markets.id
FROM markets CROSS JOIN regions
GROUP BY markets.region, markets.id
ORDER BY markets.region ASC;"
93,676086,907,3,"SELECT t0.id, t1.id AS c1156, t0.customer_id
FROM orders AS t0 JOIN books AS t1 ON t0.id = t1.id;"
94,8782,324,0,"SELECT t1.price
FROM departments AS t0 CROSS JOIN books AS t1 RIGHT JOIN users AS t2 ON t1.id = t2.id
WHERE (t2.id BETWEEN 45 AND 86 AND t1.id IN (2));"
95,7432,344,0,"SELECT t2.id
FROM departments AS t0 RIGHT JOIN employees AS t1 ON t0.id = t1.id CROSS JOIN books AS t2
WHERE ((t1.department_id IN (1, 5, 12, 34) AND t1.id IN (69)) AND t1.department_id <= 1);"
96,689824,912,16,"SELECT t1.id AS c5555, t0.id
FROM orders AS t0 JOIN users AS t1 ON t0.id = t1.id
GROUP BY t1.id, t0.id;"
97,1643,148,0,"SELECT regions.id, SUM(regions.id), COUNT(regions.id) AS c9550
FROM regions
WHERE ((regions.id < 2 AND regions.id = 32) AND (regions.id <= 2 AND regions.id != 3))
GROUP BY regions.id
ORDER BY regions.id ASC;"
98,2482,253,0,"SELECT books.id
FROM books CROSS JOIN departments
WHERE ((books.price IS NULL AND departments.id = 1) AND (books.price IS NULL OR books.price NOT IN (55, 77)));"
99,59312,262,0,"SELECT customers.id, SUM(customers.id), COUNT(customers.id) AS c8662
FROM regions JOIN customers ON regions.id = customers.id
WHERE customers.region_id = 63
GROUP BY customers.id;"
100,3009,165,17,"SELECT users.age, users.id AS c7470
FROM users
ORDER BY users.id ASC;"
101,6624,358,50,"SELECT markets.id, departments.id AS c1258, markets.region
FROM employees LEFT JOIN markets ON employees.id = markets.id CROSS JOIN departments
WHERE ((markets.id IN (3) AND markets.region = 'EUROPE') OR employees.id < 69);"
102,610000,1114,5000,"SELECT t0.customer_id, t0.id AS c8685
FROM orders AS t0;"
103,696660,1089,11,"SELECT users.age AS c405
FROM users JOIN orders ON users.id = orders.id RIGHT JOIN regions ON orders.id = regions.id
GROUP BY users.age
ORDER BY users.age DESC;"
104,1222,134,0,"SELECT employees.id
FROM employees
WHERE employees.id = 14;"
105,1552826,2164,3,"SELECT markets.id, orders.customer_id, COUNT(*)
FROM orders RIGHT JOIN markets ON orders.id = markets.id LEFT JOIN books ON markets.id = books.id
GROUP BY markets.id, orders.customer_id;"
106,10632,340,25,"SELECT books.price AS c2329, markets.note
FROM users CROSS JOIN books JOIN markets ON books.id = markets.id
WHERE (markets.region = 'EUROPE' OR (users.age NOT IN (5, 22, 64, 123) AND users.age < 22))
ORDER BY markets.note ASC;"
107,1643,176,1,"SELECT regions.id
FROM regions
WHERE regions.id IN (5)
GROUP BY regions.id
ORDER BY regions.id ASC;"
108,102500,228,51,"SELECT customers.id AS c9166, customers.region_id
FROM customers
WHERE customers.id < 52
ORDER BY customers.region_id ASC, customers.id DESC;"
109,16132,273,22,"SELECT employees.id, users.age, employees.department_id
FROM employees FULL JOIN users ON employees.id = users.id;"
